REF_DATE1,DGUID1,DGUID3,UOM1,UOM_ID,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,STATUS,SYMBOL,TERMINATED,DECIMALS,REF_DATE2_Alberta,REF_DATE2_British Columbia,REF_DATE2_Canada,REF_DATE2_Manitoba,REF_DATE2_New Brunswick,REF_DATE2_Newfoundland and Labrador,REF_DATE2_Nova Scotia,REF_DATE2_Ontario,REF_DATE2_Prince Edward Island,REF_DATE2_Quebec,REF_DATE2_Saskatchewan,REF_DATE2_nan,GEO_Rate,GEO_nan,DGUID2_A,DGUID2_nan,North American Industry Classification System_Rate,North American Industry Classification System_nan,UOM2_Number,UOM2_nan,SCALAR_FACTOR_units,SCALAR_FACTOR_nan,clazz
2001,2016,211,1129,223,0,62729502,3.16,133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,112930,223,0,62729505,3.19,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,112991,223,0,62729506,3.2,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,112999,223,0,62729507,3.21,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111110,223,0,62729552,4.23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111120,223,0,62729553,4.24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,1111,223,0,62729551,4.22,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111130,223,0,62729554,4.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111140,223,0,62729555,4.26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111150,223,0,62729556,4.27,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111190,223,0,62729557,4.28,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111211,223,0,62729559,4.3,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111219,223,0,62729560,4.31,123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,1112,223,0,62729558,4.29,144,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,1113,223,0,62729561,4.32,792,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111411,223,0,62729563,4.34,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111419,223,0,62729564,4.35,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111421,223,0,62729565,4.36,437,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111422,223,0,62729566,4.37,106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,1114,223,0,62729562,4.33,577,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111910,223,0,62729568,4.39,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,1119,223,0,62729567,4.38,513,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111940,223,0,62729569,4.4,344,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111993,223,0,62729570,4.41,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111994,223,0,62729571,4.42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,212,111999,223,0,62729572,4.43,139,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
